<PCA>								
<ID>	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
H50	21.270226	17.553585	-2.4247963	0.20793214	-3.0966656	-0.27596262	-0.15388931	-1.6342858
H6	16.324934	-13.827327	6.689765	10.676495	46.571064	-9.506147	-9.68126	0.81206167
H8	19.479647	-3.4330738	3.3872793	6.2543235	24.564548	-5.083608	-4.4407463	1.3438925
H9	35.735153	29.703873	-4.182289	0.4202815	-4.0544724	-2.69374	1.9067973	2.1348155
Hwangeum	10.309042	5.932822	-0.58201396	-0.001478923	-1.3835686	1.329187	-0.63112736	-3.9130473
JoseangSeori	8.36612	-8.775497	2.364015	0.4410772	1.4220527	5.616676	-1.6534657	-1.7464564
JoseangSeoriD1	17.081612	-19.166386	3.3396864	1.8338846	3.72542	7.4889565	0.41542473	5.8713717
JoseangSeoriD2	16.871511	-20.674644	4.788402	-0.3788067	5.710835	6.7334576	-0.024318494	4.11855
JoseangSeorismall	16.19956	-21.208715	13.485308	10.233007	-4.94769	-3.2341056	-3.1651914	1.7642025
KAS36022	14.3686285	-13.243116	-2.4704225	-0.08560456	6.5118275	2.4921184	-0.04440703	2.243175
PD01	19.073643	-36.70045	-30.300062	-16.093859	-4.0511227	-7.920232	4.3667793	-0.14058849
PD02	20.714746	-27.195375	-14.552546	-8.393921	-2.6506352	-0.9630816	3.3563635	8.162754
PD03	20.264025	-29.212193	-17.856403	-10.185187	-4.4256635	-2.6664717	0.81891155	2.5487375
PD04	13.002978	-20.34553	-9.104947	-5.2501	-1.8745393	1.0383645	1.5040294	2.897802
PD05	19.723003	-29.26841	-14.732113	-8.677096	-2.5611036	-0.3429303	3.199837	7.918819
PD06	13.189831	-20.812181	-9.223787	-5.769184	-1.8631471	1.0762378	1.7197789	3.05792
PD07	18.705544	-30.641935	-21.565512	-11.899116	-3.4029007	-4.3512073	3.2275515	3.7338881
PI01	19.07601	-24.001673	-19.634209	-10.727714	-4.731935	-3.2864478	-1.1292418	-0.8564886
PI02	13.343079	-26.902172	-20.612785	-11.307309	-3.6493692	-4.648231	1.591385	-2.3925612
PI03	17.580372	-36.10412	-28.990698	-15.514199	-6.07669	-8.03632	3.384745	1.0110455
PI04	18.157661	-36.387714	-29.157679	-15.659148	-5.778451	-8.172644	3.4678016	1.0200464
PI05	18.425947	-24.082613	-20.286465	-10.665397	-4.49605	-3.998899	-0.53974587	-1.5088992
PI06	17.82496	-37.440357	-30.529308	-16.68232	-4.538443	-8.711171	4.515018	-0.5971484
PI07	15.301095	-30.02617	-23.542484	-12.917654	-3.3489175	-5.442464	3.1103394	-1.7314322
Paldal	-0.9152416	-2.792992	-0.48764724	-3.419256	-1.5755357	4.9519873	-8.496683	-7.0456758
Ru4	15.249885	-21.688944	25.110666	11.075426	-19.350748	-16.481184	-18.869822	1.8579773
Wonhyun	19.126854	-28.297226	-14.166735	-8.102216	-2.4702556	-0.6024581	3.4639363	7.2648025
Wonyeul	18.859333	-19.078362	-2.2313008	-0.65531987	1.6518395	1.351746	-0.95750606	3.3148708
